Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Ridge,80/20,0.10293838700819935,0.4770385715586739
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Lasso,80/20,0.05293992079542165,0.49015239014392026
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,0.9118375265942602,0.14954925105875444
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,GPR,80/20,0.9140444000267998,0.1476656384755133
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Linear,85/15,0.09302536366980452,0.5466930669579672
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Ridge,85/15,0.090172738224637,0.547552124184466
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Lasso,85/15,0.038426460000894,0.5629077750685441
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.9200977643223535,0.16226522667544294
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,GPR,85/15,0.9228314962843894,0.15946524151292668
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Linear,90/10,0.056985820802072595,0.6586842910270833
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Ridge,90/10,0.05130905939463837,0.6606638917666899
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Lasso,90/10,-0.009193664710694494,0.6814052140245797
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.9302822959053284,0.17909758634374198
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,GPR,90/10,0.9336515275347693,0.17471639452093404
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,Linear,80/20,0.21150119861330097,0.08449571843557702
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,Ridge,80/20,0.24387097957068382,0.08274316662662118
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,Lasso,80/20,0.23219718200699202,0.08337945173429608
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,-0.2571019604353315,0.10668894879263363
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,GPR,80/20,0.24914191307013123,0.08245426324914205
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,Linear,85/15,0.0943798437432285,0.07196415031124419
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,Ridge,85/15,0.16115310782443149,0.06926032289750055
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,Lasso,85/15,0.11171369005978415,0.07127211496490542
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,-0.05695322008888826,0.07774474530067733
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,GPR,85/15,0.5031415012949139,0.05330396601809488
